delta_rating,map_id,delta_map_wr_windowed,map_missing_flag,LAN_flag,h2h_shrunk,h2h_count
-22,4,0.0,0,1,0,0
11,6,-0.71,0,1,-1,1
56,2,-0.43,0,1,0,0
-11,4,-0.04,0,0,1,1
10,4,1.0,0,1,0,0
-104,2,-0.5,0,1,-1,1
32,7,0.0,0,1,0,2
-104,7,0.67,0,1,0,0
-45,5,-1.0,0,1,1,1
-16,0,-0.5,0,1,0,0
13,4,-0.27,0,1,0,0
6,1,-0.42,0,0,0,0
-121,2,1.0,0,1,0,0
-4,1,0.33,0,1,2,4
-32,2,0.75,0,1,0,2
-53,3,-0.38,0,0,1,1
-10,6,-0.67,0,1,0,2
-33,4,-0.5,0,0,0,2
19,1,-0.24,0,1,0,0
-18,0,0.3,0,0,6,8
1,0,0.86,0,0,0,4
3,6,0.0,0,0,0,0
14,2,0.08,0,0,1,1
-102,0,0.5,0,0,0,0
-12,2,0,1,1,1,1
-1,0,0.27,0,0,0,2
53,1,-0.24,0,0,0,2
132,1,-0.12,0,1,0,0
-2,1,0.29,0,1,0,0
87,4,0.67,0,0,1,1
-12,3,1.0,0,1,0,0
-59,2,0.0,0,0,0,2
-23,3,0.83,0,0,2,4
51,5,1.0,0,1,1,5
-86,2,0.0,0,1,0,0
64,5,-1.0,0,0,-1,1
-52,1,0,1,1,0,0
-19,6,0.43,0,0,0,0
-54,1,0.33,0,0,0,2
-25,0,0.6,0,0,-1,1
132,5,1.0,0,1,0,0
83,0,0.27,0,0,1,1
-70,3,1.0,0,1,0,0
-16,0,-0.2,0,0,-1,1
11,6,0.55,0,1,0,0
89,1,-0.83,0,0,-1,1
-109,0,-0.75,0,1,0,2
-105,5,-1.0,0,0,0,0
-28,2,0.47,0,0,-3,3
6,7,0.0,0,1,1,1
-2,4,1.0,0,1,1,1
-30,6,-0.5,0,1,0,0
-2,6,-0.15,0,1,0,2
-30,3,-1.0,0,1,0,0
-78,4,-1.0,0,1,0,0
80,2,1.0,0,1,1,3
109,3,0.4,0,0,0,0
-22,6,0.75,0,0,1,1
2,1,0,1,1,0,0
-62,1,0,1,0,2,2
-23,1,0.33,0,1,0,0
-120,0,0.33,0,1,0,0
25,6,-0.5,0,1,1,1
-149,4,0,1,1,1,1
-37,1,0.17,0,0,1,1
-37,7,-1.0,0,1,1,1
40,1,-0.46,0,1,-1,1
-62,0,0.07,0,0,0,2
-88,4,0.29,0,0,0,0
5,3,-1.0,0,1,0,0
129,0,0.0,0,1,0,0
-40,3,-0.71,0,0,0,0
-9,1,-1.0,0,1,1,1
-41,1,-0.89,0,0,0,0
26,5,1.0,0,1,0,2
-21,1,0,1,0,0,0
-8,2,0.0,0,1,0,0
-27,2,0.63,0,0,1,1
161,2,-0.33,0,1,0,2
-63,1,1.0,0,0,0,0
100,1,1.0,0,1,-1,1
-62,4,-0.67,0,0,0,2
-42,1,-0.77,0,0,0,0
-55,0,0.17,0,1,0,0
32,6,0.5,0,1,0,0
3,5,-1.0,0,1,6,10
-68,2,0.0,0,1,0,0
-51,2,0.28,0,0,0,2
1,2,-1.0,0,1,0,2
7,4,0.1,0,1,0,0
-4,1,-0.25,0,0,0,2
-94,1,0.0,0,1,0,0
-36,1,0.0,0,1,0,0
-39,1,0.0,0,1,0,0
31,3,0.35,0,0,3,3
-3,1,-0.19,0,1,-3,3
-23,6,0.6,0,0,0,2
-26,4,0.0,0,1,0,0
-59,6,-0.55,0,0,0,0
-15,4,0.0,0,0,1,1
-12,2,0.6,0,1,1,1
-58,7,0.33,0,1,0,2
-86,2,-0.4,0,0,0,0
42,3,1.0,0,1,-1,1
-3,1,0.33,0,0,0,2
-71,6,0.33,0,0,-1,1
-28,0,1.0,0,1,1,1
-6,0,-0.15,0,1,0,0
44,6,-0.5,0,0,-1,1
5,1,1.0,0,0,-1,1
